"Time","localhost:9545"
2024-05-24 04:50:30,0.888
2024-05-24 04:50:45,0.863
2024-05-24 04:51:00,0.856
2024-05-24 04:51:15,0.839
2024-05-24 04:51:30,0.828
2024-05-24 04:51:45,0.811
2024-05-24 04:52:00,0.789
2024-05-24 04:52:15,0.772
2024-05-24 04:52:30,0.754
2024-05-24 04:52:45,0.772
2024-05-24 04:53:00,0.825
2024-05-24 04:53:15,0.888
2024-05-24 04:53:30,0.982
2024-05-24 04:53:45,1.03
2024-05-24 04:54:00,1.29
2024-05-24 04:54:15,1.34
2024-05-24 04:54:30,1.34
2024-05-24 04:54:45,1.34
2024-05-24 04:55:00,1.36
2024-05-24 04:55:15,1.34
2024-05-24 04:55:30,1.34
