"Time","localhost:9545"
2024-05-24 04:21:30,0.653
2024-05-24 04:21:45,0.653
2024-05-24 04:22:00,0.656
2024-05-24 04:22:15,0.663
2024-05-24 04:22:30,0.663
2024-05-24 04:22:45,0.642
2024-05-24 04:23:00,0.653
2024-05-24 04:23:15,0.656
2024-05-24 04:23:30,0.656
2024-05-24 04:23:45,0.670
2024-05-24 04:24:00,0.667
2024-05-24 04:24:15,0.667
2024-05-24 04:24:30,0.667
2024-05-24 04:24:45,0.656
2024-05-24 04:25:00,0.653
2024-05-24 04:25:15,0.656
2024-05-24 04:25:30,0.639
2024-05-24 04:25:45,0.635
2024-05-24 04:26:00,0.639
2024-05-24 04:26:15,0.635
2024-05-24 04:26:30,0.649
