"Time","sum(rate(besu_blockchain_chain_head_transaction_count{job=""besu""}[5m]))"
2024-05-24 04:40:30,0.0173
2024-05-24 04:40:45,0.0138
2024-05-24 04:41:00,0.0138
2024-05-24 04:41:15,0.0103
2024-05-24 04:41:30,0.0103
2024-05-24 04:41:45,0.0103
2024-05-24 04:42:00,0.00690
2024-05-24 04:42:15,0.00349
2024-05-24 04:42:30,0
2024-05-24 04:42:45,0
2024-05-24 04:43:00,0
2024-05-24 04:43:15,0
2024-05-24 04:43:30,0
2024-05-24 04:43:45,0
2024-05-24 04:44:00,0
2024-05-24 04:44:15,0
2024-05-24 04:44:30,0.00345
2024-05-24 04:44:45,0.00345
2024-05-24 04:45:00,0.00345
2024-05-24 04:45:15,0.00687
2024-05-24 04:45:30,0.0103
2024-05-24 04:45:45,0.0138
2024-05-24 04:46:00,0.0138
2024-05-24 04:46:15,0.0138
2024-05-24 04:46:30,0.0172
2024-05-24 04:46:45,0.0172
2024-05-24 04:47:00,0.0172
2024-05-24 04:47:15,0.0206
2024-05-24 04:47:30,0.0240
2024-05-24 04:47:45,0.0275
2024-05-24 04:48:00,0.0275
2024-05-24 04:48:15,0.0275
2024-05-24 04:48:30,0.0275
2024-05-24 04:48:45,0.0275
2024-05-24 04:49:00,0.0275
2024-05-24 04:49:15,0.0241
2024-05-24 04:49:30,0.0241
2024-05-24 04:49:45,0.0241
2024-05-24 04:50:00,0.0208
2024-05-24 04:50:15,0.0175
2024-05-24 04:50:30,0.0139
